busfrequency,,frequency,I,Q,amplitude,phase
5217860003.300299,0,5305000000.0,-0.05297616124153137,0.10678798705339432,-18.4740140375845,2.0313088574313856
5217860003.300299,1,5305200000.0,-0.05249512568116188,0.1103660836815834,-18.257537548147457,2.014771161795767
5217860003.300299,2,5305400000.0,-0.05191679671406746,0.10817378014326096,-18.41730393777041,2.018266579481329
5217860003.300299,3,5305600000.0,-0.05180581286549568,0.10764707624912262,-18.455232186807184,2.019336694931579
5217860003.300299,4,5305800000.0,-0.054158952087163925,0.10759104788303375,-18.38361750749939,2.037142575801022
5217860003.300299,5,5306000000.0,-0.051763344556093216,0.10864758491516113,-18.391192334741245,2.015413586151976
5217860003.300299,6,5306200000.0,-0.05123652145266533,0.10923125594854355,-18.369386075811928,2.0093908277041086
5217860003.300299,7,5306400000.0,-0.05198361352086067,0.10740436613559723,-18.465511962540525,2.021561448703419
5217860003.300299,8,5306600000.0,-0.05484859272837639,0.10836787521839142,-18.311501412941897,2.039338546461874
5217860003.300299,9,5306800000.0,-0.05210614576935768,0.10801634937524796,-18.421631364246082,2.0202579917097556
5217860003.300299,10,5307000000.0,-0.05204614996910095,0.10879535973072052,-18.372793464960367,2.0170035058139044
5217860003.300299,11,5307200000.0,-0.051680803298950195,0.1079295426607132,-18.4406633497063,2.0173717441014474
5217860003.300299,12,5307400000.0,-0.0516764260828495,0.10726398229598999,-18.48445838654875,2.0197527853728308
5217860003.300299,13,5307600000.0,-0.05117299035191536,0.1091349720954895,-18.377607766683337,2.009252867908583
5217860003.300299,14,5307800000.0,-0.05065246298909187,0.10914266854524612,-18.392976039829982,2.005308854218503
5217860003.300299,15,5308000000.0,-0.052492380142211914,0.10936133563518524,-18.322293535660933,2.0183084171349983
5217860003.300299,16,5308200000.0,-0.051976367831230164,0.10761965811252594,-18.451643384929472,2.020722090414423
5217860003.300299,17,5308400000.0,-0.05318130925297737,0.10784280300140381,-18.398821129628963,2.0289387231498375
5217860003.300299,18,5308600000.0,-0.0541335791349411,0.1091950535774231,-18.28156460086447,2.0310391245128585
5217860003.300299,19,5308800000.0,-0.049927860498428345,0.1079319640994072,-18.494860922075084,2.0040676816575766
5217860003.300299,20,5309000000.0,-0.0515899695456028,0.1085081547498703,-18.405668269922796,2.0146100101706703
5217860003.300299,21,5309200000.0,-0.05272677168250084,0.10832086205482483,-18.38227196141756,2.0237997422622396
5217860003.300299,22,5309400000.0,-0.05386717990040779,0.10762688517570496,-18.390749198903787,2.0348432901354396
5217860003.300299,23,5309600000.0,-0.052575353533029556,0.1080157533288002,-18.406863966947792,2.0237780219925723
5217860003.300299,24,5309800000.0,-0.05336844548583031,0.10754378139972687,-18.41219824299239,2.031438273887066
5217860003.300299,25,5310000000.0,-0.05291353538632393,0.10642431676387787,-18.499814921160894,2.032196644587015
5217860003.300299,26,5310200000.0,-0.04997558146715164,0.10739578306674957,-18.528985933085355,2.006333729434792
5217860003.300299,27,5310400000.0,-0.04960882291197777,0.10756469517946243,-18.52905217114089,2.002924930849617
5217860003.300299,28,5310600000.0,-0.05105769634246826,0.10818738490343094,-18.443179219303463,2.0117430676300962
5217860003.300299,29,5310800000.0,-0.04991930350661278,0.10889384150505066,-18.43153982969674,2.000631656607295
5217860003.300299,30,5311000000.0,-0.047321632504463196,0.10967305302619934,-18.456516480952068,1.9781420233871874
5217860003.300299,31,5311200000.0,-0.0464554987847805,0.1075659692287445,-18.623752953178858,1.9784792129397153
5217860003.300299,32,5311400000.0,-0.04273294284939766,0.10873056203126907,-18.64917000254544,1.9452682882089065
